"filename", "language", "JavaScript", "Markdown", "JSON with Comments", "XML", "JSON", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/dedyas/Documents/smk-skill-bridge/postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/dedyas/Documents/smk-skill-bridge/public/file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/dedyas/Documents/smk-skill-bridge/public/globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/dedyas/Documents/smk-skill-bridge/public/majors.json", "JSON", 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 173
"/home/dedyas/Documents/smk-skill-bridge/public/next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/dedyas/Documents/smk-skill-bridge/public/questions.json", "JSON", 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 336
"/home/dedyas/Documents/smk-skill-bridge/public/vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/dedyas/Documents/smk-skill-bridge/public/window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/dedyas/Documents/smk-skill-bridge/tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 20, 23, 34, 5, 10076, 525, 1358, 52, 34, 148, 12275
